id,source,document_version,section,condition,title,subsection,pdf_pages,printed_pages,content
chunk_001,visa-dispute-guidelines.pdf,June 2024,3,10.1,EMV Liability Shift Counterfeit Fraud,Why did I get this notification?,24,21,"A cardholder is claiming that they did not authorize or participate in a transaction that you 
processed on a counterfeit card. 
The cardholder’s bank determined all of the following has occurred: 
– The transaction was completed in a card-present environment with a card that was reported 
as counterfeit, 
– The transaction qualifies for the EMV liability shift, 
– The card is a chip card, and 
– Either of these things occurred: 
– The transaction did not take place at a chip-reading device (terminal entry capability 
code was not 5). 
– The transaction was chip-initiated and, the transaction was authorized online, however, 
the card processor did not transmit the full chip data to Visa in the authorization 
request."
chunk_002,visa-dispute-guidelines.pdf,June 2024,3,10.1,EMV Liability Shift Counterfeit Fraud,What caused the dispute?,24,21,"The cardholder has a chip card, but the transaction did not take place at a chip terminal or was 
not chip read."
chunk_003,visa-dispute-guidelines.pdf,June 2024,3,10.1,EMV Liability Shift Counterfeit Fraud,How should I respond?,24,21,"– The transaction took place at a chip terminal. 
Provide documentation to support that the transaction was chip read and evidence that the 
full chip data was transmitted. 
– The transaction did not take place at a chip terminal. 
Accept the dispute. 
– Credit or reversal has already been processed for the transaction. 
Provide documentation of the credit or reversal that includes the amount and the date it 
was processed. 
– The cardholder no longer disputes the transaction. 
Provide a letter or email from the cardholder stating that they no longer dispute the 
transaction."
chunk_004,visa-dispute-guidelines.pdf,June 2024,3,10.1,EMV Liability Shift Counterfeit Fraud,How to avoid this dispute in the future,24,21,"– Make sure your terminal is EMV-compliant and the correct Cardholder Verification Method 
(CVM) was obtained. For example: signature, PIN, etc. 
– Chip cards are properly processed. 
– Train your staff on the proper procedures for handling terminal issues. 
20

3 Dispute Conditions"
chunk_005,visa-dispute-guidelines.pdf,June 2024,3,10.2,EMV Liability Shift Non-Counterfeit Fraud,Why did I get this notification?,25,22,"A cardholder is claiming that they did not authorize or participate in a transaction that you 
processed on a lost or stolen card, or on a card not received as issued (NRI). 
The cardholder’s bank determined all of the following has occurred: 
– The transaction was completed in a card-present environment with a card that was reported 
lost, stolen, or card not received as issued (NRI) 
– The transaction qualifies for the EMV liability shift, 
– The card is a PIN-preferring chip card, and 
– One of these actions transpired: 
– The transaction did not take place at a chip-reading device. 
– A chip-initiated transaction took place at a chip-reading device that was not EMV 
PIN-compliant. 
– The online authorized transaction was chip-initiated without an online PIN and the card 
processor did not transmit the full chip data to Visa in the authorization request."
chunk_006,visa-dispute-guidelines.pdf,June 2024,3,10.2,EMV Liability Shift Non-Counterfeit Fraud,What caused the dispute?,25,22,"The most common cause of this dispute is that a PIN-preferring chip card was used either at a 
non-EMV terminal or a chip transaction was initiated without full chip data."
chunk_007,visa-dispute-guidelines.pdf,June 2024,3,10.2,EMV Liability Shift Non-Counterfeit Fraud,How should I respond?,25,22,"– The transaction took place at an EMV PIN compliant terminal. 
Provide documentation to support that the transaction took place at an EMV PIN compliant 
terminal. 
– The transaction was not completed at an EMV PIN-compliant terminal. 
Accept the dispute. 
– Credit or reversal has already been processed for the transaction. 
Provide documentation of the credit or reversal that includes the amount and the date it 
was processed. 
– The cardholder no longer disputes the transaction. 
Provide a letter or email from the cardholder that states they no longer dispute the 
transaction."
chunk_008,visa-dispute-guidelines.pdf,June 2024,3,10.2,EMV Liability Shift Non-Counterfeit Fraud,How to avoid this dispute in the future,25,22,"– Make sure your terminal is EMV PIN-compliant and the correct Cardholder Verification 
Method (CVM) was obtained. For example: signature, PIN, etc. 
– Chip cards are properly processed. 
– Train your staff on the proper procedures for handling terminal issues. 
21

3 Dispute Conditions"
chunk_009,visa-dispute-guidelines.pdf,June 2024,3,10.3,Other Fraud – Card-Present Environment,Why did I get this notification?,26,23,"A cardholder is claiming that they did not authorize or participate in a key-entered transaction 
conducted in a card-present environment."
chunk_010,visa-dispute-guidelines.pdf,June 2024,3,10.3,Other Fraud – Card-Present Environment,What caused the dispute?,26,23,"The most common causes of this type of dispute are that you: 
– Did not ensure that the card was either swiped or that the chip was read. 
– Did not make a manual imprint of the card account information on the transaction receipt 
for a key-entered transaction. 
– Completed a card-absent transaction but the transaction was not properly identified as an 
internet or mail order/ phone order."
chunk_011,visa-dispute-guidelines.pdf,June 2024,3,10.3,Other Fraud – Card-Present Environment,How should I respond?,26,23,"– The card was swiped or chip-read and the transaction was authorized at the point of sale. 
Provide a copy of the authorization record as proof that the card’s magnetic stripe or chip 
was read. 
– A manual imprint was obtained at the point of sale. (Does not apply to the Europe region) 
Provide a copy of the manual imprint. 
– The transaction was not swiped, chip-read, or manually imprinted. 
Accept the dispute. 
– Credit or reversal has already been processed for the transaction. 
Provide documentation of the credit or reversal that includes the amount and the date it 
was processed. 
– The cardholder no longer disputes the transaction. 
Provide a letter or email from the cardholder that states they no longer dispute the 
transaction."
chunk_012,visa-dispute-guidelines.pdf,June 2024,3,10.3,Other Fraud – Card-Present Environment,How to avoid this dispute in the future,26,23,"– Make sure all card-present transactions are either magnetic stripe-read or chip-read. 
– If you are unable to swipe or read the chip, make a manual imprint of the card. 
– Train your staff on the proper procedures for handling terminal issues. 
22

3 Dispute Conditions"
chunk_013,visa-dispute-guidelines.pdf,June 2024,3,10.4,Other Fraud – Card-Absent Environment,Why did I get this notification?,27,24,"The cardholder is claiming that they did not authorize or participate in a transaction conducted 
in a card-absent environment (i.e., internet, mail-order, phone-order, etc.)."
chunk_014,visa-dispute-guidelines.pdf,June 2024,3,10.4,Other Fraud – Card-Absent Environment,What caused the dispute?,27,24,"The most common causes of this type of dispute are: 
– You processed a card-absent transaction from a person who was fraudulently using a 
payment credential. 
– The cardholder had their payment credential taken by fraudulent means. 
– Due to an unclear or confusing merchant name the cardholder believes the transaction to 
be fraudulent"
